Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,David Pastrnak (14309968),David Pastrnak,14309968,W/UTIL,8500,BOS@EDM 02/19/2020 08:30PM ET,BOS,17.47
C,Nathan MacKinnon (14309768),Nathan MacKinnon,14309768,C/UTIL,8500,NYI@COL 02/19/2020 10:00PM ET,COL,18.33
C,Leon Draisaitl (14309770),Leon Draisaitl,14309770,C/UTIL,8400,BOS@EDM 02/19/2020 08:30PM ET,EDM,16.36
G,Ben Bishop (14310598),Ben Bishop,14310598,G,8200,ARI@DAL 02/19/2020 08:30PM ET,DAL,15.60
RW,Patrick Kane (14309970),Patrick Kane,14309970,W/UTIL,8100,NYR@CHI 02/19/2020 08:00PM ET,CHI,15.37
C,Patrice Bergeron (14309772),Patrice Bergeron,14309772,C/UTIL,8100,BOS@EDM 02/19/2020 08:30PM ET,BOS,13.79
G,Philipp Grubauer (14310599),Philipp Grubauer,14310599,G,8100,NYI@COL 02/19/2020 10:00PM ET,COL,14.19
G,Pavel Francouz (14310600),Pavel Francouz,14310600,G,8100,NYI@COL 02/19/2020 10:00PM ET,COL,14.86
G,Robin Lehner (14310601),Robin Lehner,14310601,G,8000,NYR@CHI 02/19/2020 08:00PM ET,CHI,17.66
G,Anton Khudobin (14310602),Anton Khudobin,14310602,G,8000,ARI@DAL 02/19/2020 08:30PM ET,DAL,16.68
LW,Brad Marchand (14309972),Brad Marchand,14309972,W/UTIL,7900,BOS@EDM 02/19/2020 08:30PM ET,BOS,12.55
G,Hunter Miska (14310604),Hunter Miska,14310604,G,7900,NYI@COL 02/19/2020 10:00PM ET,COL,0
G,Jacob Markstrom (14310603),Jacob Markstrom,14310603,G,7900,MIN@VAN 02/19/2020 10:30PM ET,VAN,16.25
G,Corey Crawford (14310606),Corey Crawford,14310606,G,7800,NYR@CHI 02/19/2020 08:00PM ET,CHI,13.31
C,Connor McDavid (14309774),Connor McDavid,14309774,C/UTIL,7800,BOS@EDM 02/19/2020 08:30PM ET,EDM,15.78
G,Tuukka Rask (14310605),Tuukka Rask,14310605,G,7800,BOS@EDM 02/19/2020 08:30PM ET,BOS,17.24
G,Jaroslav Halak (14310607),Jaroslav Halak,14310607,G,7800,BOS@EDM 02/19/2020 08:30PM ET,BOS,16.32
G,Semyon Varlamov (14310608),Semyon Varlamov,14310608,G,7700,NYI@COL 02/19/2020 10:00PM ET,NYI,13.81
G,Thomas Greiss (14310610),Thomas Greiss,14310610,G,7700,NYI@COL 02/19/2020 10:00PM ET,NYI,13.66
G,Thatcher Demko (14310609),Thatcher Demko,14310609,G,7700,MIN@VAN 02/19/2020 10:30PM ET,VAN,13.09
C,Mika Zibanejad (14309776),Mika Zibanejad,14309776,C/UTIL,7600,NYR@CHI 02/19/2020 08:00PM ET,NYR,15.46
LW,Artemi Panarin (14309974),Artemi Panarin,14309974,W/UTIL,7600,NYR@CHI 02/19/2020 08:00PM ET,NYR,14.71
G,John Gibson (14310611),John Gibson,14310611,G,7600,FLA@ANH 02/19/2020 10:00PM ET,ANH,12.29
G,Ryan Miller (14310612),Ryan Miller,14310612,G,7600,FLA@ANH 02/19/2020 10:00PM ET,ANH,13.14
G,Sergei Bobrovsky (14310613),Sergei Bobrovsky,14310613,G,7500,FLA@ANH 02/19/2020 10:00PM ET,FLA,11.38
G,Sam Montembeault (14310615),Sam Montembeault,14310615,G,7300,FLA@ANH 02/19/2020 10:00PM ET,FLA,8.38
G,Chris Driedger (14310617),Chris Driedger,14310617,G,7300,FLA@ANH 02/19/2020 10:00PM ET,FLA,16.99
G,Devan Dubnyk (14310614),Devan Dubnyk,14310614,G,7300,MIN@VAN 02/19/2020 10:30PM ET,MIN,9.77
G,Alex Stalock (14310616),Alex Stalock,14310616,G,7300,MIN@VAN 02/19/2020 10:30PM ET,MIN,12.55
G,Igor Shesterkin (14310618),Igor Shesterkin,14310618,G,7200,NYR@CHI 02/19/2020 08:00PM ET,NYR,22.73
G,Henrik Lundqvist (14310619),Henrik Lundqvist,14310619,G,7200,NYR@CHI 02/19/2020 08:00PM ET,NYR,13.06
